County,AirQualityIndex,WaterContamination,MedianIncome,EducationLevel,ChronicIllnessRate
County_47,45.39361229,13.81524645,41200.43751,11.10383132,33.66598246
County_48,60.57122226,13.39771693,39773.36614,11.18507245,20.60120214
County_49,53.4361829,22.60970783,59123.63392,12.56311156,24.86133083
County_50,32.36959845,21.48492337,48239.85369,13.5731057,19.40786478
County_51,53.24083969,21.25246425,34912.92837,14.62181513,29.37320903
County_52,46.1491772,21.73224105,52342.89558,16.95071243,39.55142321
County_53,43.23078,16.59987639,61977.24958,15.71531925,20.14273954
County_54,56.11676289,21.16126849,53259.72208,13.68012294,35.04046516
County_55,60.30999522,21.46536237,32845.04027,13.96196758,24.69742382
County_56,59.31280119,16.42824291,41126.12742,11.99494127,22.07127168
County_57,41.60782477,29.32887256,55135.28919,13.96297373,28.9296964
County_58,46.90787624,22.3691646,39338.64428,13.42268272,19.64757678
County_59,53.31263431,14.04348251,48550.55543,14.64543712,24.46350695
County_60,59.75545127,23.28276804,51197.07243,12.34553811,18.02122107
County_61,45.20825762,15.12659165,37584.55623,15.03869303,49.64725133
County_62,48.14341023,23.93542302,44523.79715,17.06547783,30.35263552
County_63,38.93665026,25.7929779,19069.86128,13.7824797,23.00274492
County_64,38.03793376,15.89658841,36804.89887,14.80342344,32.13979911
County_65,58.12525822,24.81688065,42979.45479,15.38028798,28.8767195
County_66,63.56240029,22.06390463,35017.73454,13.19755906,27.790304
County_67,49.27989878,24.1103008,58059.29043,14.44818496,36.141667
County_68,60.03532898,29.48396491,33558.86898,14.0251848,37.5750771
County_69,53.61636025,18.77305942,41479.64411,14.1953522,24.69498852
County_70,43.54880245,16.23131918,46045.92462,12.45398043,24.24181759
County_71,53.61395606,15.55242785,56530.18631,14.04902035,27.24948303
County_72,65.38036566,15.92094858,33513.10279,14.99599658,6.980788353
County_73,49.64173961,19.61449145,54305.31002,16.90228722,14.84808938
County_74,65.64643656,21.70575987,45081.86449,15.91854165,43.66874267
County_75,23.80254896,21.383454,37147.93079,18.30636492,46.44967714
County_76,58.21902504,24.13591625,48696.82779,12.46530487,27.5096396
County_77,50.87047068,20.06500946,46592.47756,15.74464127,35.76556963
County_78,47.0099265,27.26767039,40198.26498,14.36668401,33.11250155
County_79,50.91760777,18.67671583,45558.41668,18.37960587,60.78880808
County_80,30.12431085,33.60084583,41917.49123,12.38340343,41.19574911
County_81,47.80328112,23.12833674,45908.13876,12.32055632,28.72082409
County_82,53.57112572,15.71421222,50297.0454,12.80121471,20.44459559
County_83,64.77894045,14.64553751,57688.13453,9.752208551,13.9355368
County_84,44.81729782,22.41236208,35097.47601,12.94848996,32.03463636
County_85,41.91506397,18.88268607,62064.267,12.48173468,22.43649255
County_86,44.98242956,23.57000247,29383.2976,14.30078757,15.7774629
County_87,59.15402118,22.36618812,43785.71924,14.68351195,23.53427116
County_88,53.2875111,19.63585544,49706.53765,17.75234168,19.18451996
County_89,44.70239796,15.76603141,47247.93494,15.90084768,46.87141635
County_90,55.13267433,12.42576388,40018.40384,12.84619269,38.81639757
County_91,50.97077549,17.76742524,43335.022,12.20317066,29.92027359
County_92,59.68644991,24.28199397,41055.99252,14.98383834,44.79944139
County_93,42.97946906,21.07046872,40285.08194,11.35953359,30.77368308
County_94,46.72337853,13.77130611,51796.81678,17.66291753,21.38715799
County_95,46.07891847,20.86590463,47856.12389,16.35888024,45.23124077
County_96,35.36485052,21.9265869,39456.72324,13.0616487,35.38910044
County_97,52.96120277,15.58071282,52196.799,10.57373094,19.62753846
County_98,52.61055272,20.76862553,47458.39617,16.70774475,28.09661322
County_99,50.05113457,20.29104359,51502.89695,13.77092031,21.24381747
County_100,47.65412867,14.28514851,50037.03074,16.47563262,16.17200269
